burst,warm,hedge_s,p50_s,p95_s,gpu_busy_s,warm_idle_s,cost_per_job_usd
9,1,60,366.6,468.4,11729.0,0.0,0.7059
9,1,120,367.5,468.4,7188.0,0.0,0.4326
9,2,0,360.0,462.4,7185.0,0.0,0.4324
9,2,15,354.8,456.3,14372.0,0.0,0.865
9,2,30,359.5,461.5,14368.0,0.0,0.8647
9,2,60,362.9,463.7,11707.0,0.0,0.7046
9,2,120,363.4,464.1,7182.0,0.0,0.4323
9,3,0,357.9,459.7,7184.0,0.0,0.4323
9,3,15,351.7,452.2,14381.0,0.0,0.8655
9,3,30,355.8,458.2,14360.0,0.0,0.8642
9,3,60,358.0,459.4,11748.0,0.0,0.7071
9,3,120,357.9,459.1,7198.0,0.0,0.4332
9,4,0,354.9,455.3,7184.0,0.0,0.4324
9,4,15,346.7,446.5,14376.0,0.0,0.8652
9,4,30,351.5,451.1,14358.0,0.0,0.8641
9,4,60,355.7,456.5,11731.0,0.0,0.706
9,4,120,354.2,455.4,7179.0,0.0,0.4321
9,6,0,347.8,448.2,7189.0,0.0,0.4327
9,6,15,338.8,439.6,14374.0,0.0,0.8651
9,6,30,344.8,445.3,14387.0,0.0,0.8659
9,6,60,346.4,447.9,11694.0,0.0,0.7038
9,6,120,348.0,449.1,7200.0,0.0,0.4333
12,0,0,407.9,543.0,9604.0,0.0,0.4335
12,0,15,399.7,535.0,19172.0,0.0,0.8654
12,0,30,404.9,539.2,19157.0,0.0,0.8647
12,0,60,406.6,542.6,15641.0,0.0,0.706
12,0,120,406.1,542.8,9587.0,0.0,0.4328
12,1,0,401.8,535.4,9573.0,0.0,0.4321
12,1,15,393.4,529.7,19168.0,0.0,0.8652
12,1,30,400.4,534.4,19208.0,0.0,0.867
12,1,60,401.4,537.9,15634.0,0.0,0.7057
12,1,120,402.5,537.2,9590.0,0.0,0.4329
12,2,0,396.5,532.8,9577.0,0.0,0.4323
12,2,15,390.9,526.6,19160.0,0.0,0.8649
12,2,30,396.6,531.7,19169.0,0.0,0.8653
12,2,60,398.4,533.0,15629.0,0.0,0.7055
12,2,120,395.8,533.7,9571.0,0.0,0.432
12,3,0,392.5,528.5,9570.0,0.0,0.432
12,3,15,386.4,523.3,19181.0,0.0,0.8658
12,3,30,391.8,527.4,19187.0,0.0,0.8661
12,3,60,393.7,529.8,15585.0,0.0,0.7035
12,3,120,394.2,528.6,9591.0,0.0,0.4329
12,4,0,390.0,526.4,9584.0,0.0,0.4326
12,4,15,382.5,516.3,19176.0,0.0,0.8656
12,4,30,387.7,520.8,19153.0,0.0,0.8645
12,4,60,389.1,524.9,15572.0,0.0,0.7029
12,4,120,388.8,525.5,9572.0,0.0,0.4321
12,6,0,382.1,515.7,9572.0,0.0,0.4321
12,6,15,374.9,509.5,19164.0,0.0,0.8651
12,6,30,380.5,514.5,19178.0,0.0,0.8657
12,6,60,382.3,515.9,15606.0,0.0,0.7044
12,6,120,381.3,516.9,9573.0,0.0,0.4321
